source,target,type
ก๖๖,ก๖๖_9,broader
ก๖๖,ก๖๖_10,broader
ก๖๗,ก๖๗_1,broader
ก๖๘,ก๖๘_1,broader
ก๖๘,ก๖๘_2,broader
ก๖๘,ก๖๘_3,broader
ก๖๙,ก๖๙_1,broader
ก๖๙,ก๖๙_2,broader
ก๗๐,ก๗๐_1,broader
ก๗๐,ก๗๐_2,broader
ก๗๐,ก๗๐_3,broader
ก๗๐,ก๗๐_4,broader
ก๗๐,ก๗๐_5,broader
ก๗๐,ก๗๐_6,broader
ก๗๐,ก๗๐_7,broader
ก๗๐,ก๗๐_8,broader
ก๗๐,ก๗๐_9,broader
ก๗๐,ก๗๐_10,broader
ก๗๑,ก๗๑_1,broader
ก๗๑,ก๗๑_2,broader
ก๗๑,ก๗๑_3,broader
ก๗๑,ก๗๑_4,broader
ก๗๑,ก๗๑_5,broader
ก๗๑,ก๗๑_6,broader
ก๗๑,ก๗๑_7,broader
ก๗๑,ก๗๑_8,broader
ก๗๑,ก๗๑_9,broader
ก๗๒,ก๗๒_1,broader
ก๗๒,ก๗๒_2,broader
ก๗๒,ก๗๒_3,broader
ก๗๒,ก๗๒_4,broader
ก๗๒,ก๗๒_5,broader
ก๗๒,ก๗๒_6,broader
ก๗๓,ก๗๓_1,broader
ก๗๓,ก๗๓_2,broader
ก๗๓,ก๗๓_3,broader
ก๗๔,ก๗๔_1,broader
ก๗๔,ก๗๔_2,broader
ก๗๔,ก๗๔_3,broader
ก๗๔,ก๗๔_4,broader
ก๗๔,ก๗๔_5,broader
ก๗๕,ก๗๕_1,broader
ก๗๕,ก๗๕_2,broader
ก๗๕,ก๗๕_3,broader
ก๗๖,ก๗๖_1,broader
ก๗๖,ก๗๖_2,broader
ก๗๖,ก๗๖_3,broader
ก๗๖,ก๗๖_4,broader
ก๗๖,ก๗๖_5,broader
ก๗๖,ก๗๖_6,broader
ก๗๗,ก๗๗_1,broader
ก๗๗,ก๗๗_2,broader
ก๗๗,ก๗๗_3,broader
ก๗๗,ก๗๗_4,broader
ก๘๐,ก๘๐_1,broader
ก๘๐,ก๘๐_2,broader
ก๘๐,ก๘๐_3,broader
ก๘๐,ก๘๐_4,broader
ก๘๐,ก๘๐_5,broader
ก๘๐,ก๘๐_6,broader
ก๘๐,ก๘๐_7,broader
ก๘๐,ก๘๐_8,broader
ก๘๐,ก๘๐_9,broader
ก๘๐,ก๘๐_10,broader
ก๘๑,ก๘๑_1,broader
ก๘๑,ก๘๑_2,broader
ก๘๑,ก๘๑_3,broader
ก๘๒,ก๘๒_1,broader
ก๘๒,ก๘๒_2,broader
ก๘๒,ก๘๒_3,broader
ก๘๒,ก๘๒_4,broader
ก๘๒,ก๘๒_5,broader
ก๘๒,ก๘๒_6,broader
ก๘๒,ก๘๒_7,broader
ก๘๒,ก๘๒_8,broader
ก๘๒,ก๘๒_9,broader
ก๘๒,ก๘๒_10,broader
ก๘๒,ก๘๒_11,broader
ก๘๒,ก๘๒_12,broader
ก๘๒,ก๘๒_13,broader
ก๘๒,ก๘๒_14,broader
ก๘๓,ก๘๓_1,broader
ก๘๓,ก๘๓_2,broader
ก๘๓,ก๘๓_3,broader
ก๘๓,ก๘๓_4,broader
ก๘๓,ก๘๓_5,broader
ก๘๕,ก๘๕_1,broader
ก๘๕,ก๘๕_2,broader
ก๘๕,ก๘๕_3,broader
ก๘๕,ก๘๕_4,broader
ก๘๕,ก๘๕_5,broader
ก๘๕,ก๘๕_6,broader
ก๘๖,ก๘๖_1,broader
ก๘๖,ก๘๖_2,broader
ก๘๖,ก๘๖_3,broader
ก๘๖,ก๘๖_4,broader
ก๘๖,ก๘๖_5,broader
ก๘๖,ก๘๖_6,broader
ก๘๖,ก๘๖_7,broader
ก๘๖,ก๘๖_8,broader
ก๘๖,ก๘๖_9,broader
ก๘๖,ก๘๖_10,broader
ก๘๖,ก๘๖_11,broader
ก๘๖,ก๘๖_12,broader
ก๘๗,ก๘๗_1,broader
ก๘๗,ก๘๗_2,broader
ก๙๐,ก๙๐_1,broader
ก๙๐,ก๙๐_2,broader
ก๙๐,ก๙๐_3,broader
ก๙๐,ก๙๐_4,broader
ก๙๐,ก๙๐_5,broader
ก๙๐,ก๙๐_6,broader
ก๙๐,ก๙๐_7,broader
ก๙๐,ก๙๐_8,broader
ก๙๐,ก๙๐_9,broader
ก๙๐,ก๙๐_10,broader
ก๙๐,ก๙๐_11,broader
ก๙๐,ก๙๐_12,broader
ก๙๐,ก๙๐_13,broader
ก๙๐,ก๙๐_14,broader
ก๙๐,ก๙๐_15,broader
